,WR,M1_Points,M2_Points,Mean,drafted
0,Ja'Marr Chase,261.2,250.22,255.71,False
1,CeeDee Lamb,260.18,242.4,251.29,False
2,Amon-Ra St. Brown,258.28,226.73,242.5,False
4,Tyreek Hill,229.91,251.34,240.62,False
3,Brian Thomas,237.94,233.56,235.75,False
7,Davante Adams,210.43,244.34,227.38,False
11,Justin Jefferson,198.42,249.51,223.96,False
5,Malik Nabers,227.05,219.15,223.1,False
6,Mike Evans,223.54,214.39,218.96,False
9,A.J. Brown,201.14,203.27,202.2,False
8,D.J. Moore,210.15,194.03,202.09,False
12,Puka Nacua,190.18,199.75,194.96,False
10,Terry McLaurin,199.08,189.15,194.12,False
14,Ladd McConkey,189.04,191.65,190.34,False
13,Garrett Wilson,190.04,183.54,186.79,False
15,Keenan Allen,187.98,176.35,182.16,False
27,Stefon Diggs,159.72,202.41,181.06,False
16,Drake London,184.26,171.84,178.05,False
24,D.K. Metcalf,169.27,185.85,177.56,False
21,Jordan Addison,173.46,179.62,176.54,False
22,DeVonta Smith,172.87,176.3,174.58,False
20,Zay Flowers,176.27,171.02,173.64,False
35,Cooper Kupp,141.64,198.79,170.21,False
23,Marvin Harrison Jr.,172.79,166.07,169.43,False
19,Courtland Sutton,180.29,152.39,166.34,False
26,Michael Pittman Jr.,161.28,168.81,165.04,False
25,Jakobi Meyers,167.42,159.36,163.39,False
30,Jayden Reed,157.56,167.15,162.36,False
36,Deebo Samuel,141.62,182.9,162.26,False
32,Tee Higgins,152.26,168.55,160.4,False
18,Calvin Ridley,180.42,137.34,158.88,False
31,Jaxon Smith-Njigba,156.64,159.04,157.84,False
17,Nico Collins,182.6,132.24,157.42,False
29,Xavier Worthy,157.69,156.62,157.16,False
38,Amari Cooper,138.81,165.88,152.34,False
43,Jaylen Waddle,130.48,171.47,150.98,False
28,DeAndre Hopkins,157.85,137.77,147.81,False
44,Tyler Lockett,129.02,164.23,146.62,False
34,George Pickens,147.77,145.0,146.38,False
37,Adam Thielen,140.72,149.25,144.99,False
41,Chris Godwin,132.54,157.4,144.97,False
33,Jerry Jeudy,148.08,133.48,140.78,False
39,Josh Downs,134.84,135.78,135.31,False
47,Brandon Aiyuk,119.44,145.41,132.43,False
48,Chris Olave,119.43,134.79,127.11,False
46,Tank Dell,120.15,125.1,122.62,False
40,Romeo Doubs,133.9,111.12,122.51,False
60,Diontae Johnson,101.08,140.05,120.56,False
45,Rome Odunze,120.45,118.23,119.34,False
51,Darnell Mooney,115.87,121.75,118.81,False
49,Russell Gage,119.34,114.47,116.9,False
53,Jalen McMillan,115.09,116.59,115.84,False
42,Wan'Dale Robinson,131.94,95.97,113.96,False
54,Quentin Johnston,114.78,112.92,113.85,False
55,Rashee Rice,113.55,113.28,113.42,False
68,Brandin Cooks,96.56,126.05,111.3,False
78,Christian Kirk,87.17,135.25,111.21,False
58,Emmanuel Sanders,105.77,109.22,107.5,False
52,Elijah Moore,115.14,97.57,106.35,False
59,Xavier Legette,103.05,101.82,102.44,False
50,Khalil Shakir,117.15,86.89,102.02,False
71,Gabriel Davis,93.26,109.11,101.18,False
62,Antonio Brown,100.06,100.46,100.26,False
63,Tim Patrick,99.58,100.82,100.2,False
79,Tyler Boyd,86.65,113.67,100.16,False
65,Alec Pierce,98.32,101.69,100.0,False
56,Jauan Jennings,112.42,86.71,99.56,False
57,Jameson Williams,112.07,85.22,98.64,False
66,Demario Douglas,98.15,96.78,97.46,False
61,Darius Slayton,100.75,92.96,96.85,False
70,Michael Wilson,96.03,96.45,96.24,False
69,Dontayvion Wicks,96.51,94.47,95.49,False
67,Rashid Shaheed,97.54,91.92,94.73,False
81,Christian Watson,82.92,101.49,92.2,False
89,Allen Lazard,76.83,105.62,91.22,False
64,Rashod Bateman,98.38,83.12,90.75,False
73,Nick Westbrook-Ikhine,92.82,85.82,89.32,False
80,Keon Coleman,85.27,91.65,88.46,False
77,A.J. Green,87.72,87.92,87.82,False
82,Josh Palmer,81.06,93.57,87.32,False
76,Corey Davis,87.77,85.52,86.64,False
72,Demarcus Robinson,92.96,80.28,86.62,False
75,Curtis Samuel,89.87,80.87,85.37,False
105,Marquise Brown,63.3,107.28,85.29,False
84,Devaughn Vele,79.27,83.73,81.5,False
86,Tre Tucker,78.96,82.02,80.49,False
87,Marquez Callaway,78.45,79.24,78.84,False
91,Donovan Peoples-Jones,76.32,80.73,78.53,False
85,Michael Gallup,79.1,77.62,78.36,False
88,Jalen Coker,77.07,77.13,77.1,False
101,Kendrick Bourne,67.46,85.93,76.69,False
83,Tutu Atwell,80.35,72.51,76.43,False
152,Mike Williams,43.08,109.54,76.31,False
90,Jarvis Landry,76.52,75.27,75.9,False
95,Marvin Mims,72.84,78.39,75.62,False
74,Jalen Tolbert,91.05,60.02,75.54,False
100,Jahan Dotson,68.33,81.45,74.89,False
94,Ricky Pearsall,73.12,76.37,74.74,False
137,Hunter Renfrow,47.96,99.86,73.91,False
97,DeVante Parker,71.54,76.22,73.88,False
93,Andrei Iosivas,74.56,72.84,73.7,False
126,K.J. Osborn,53.35,92.24,72.8,False
103,Rondale Moore,66.68,75.24,70.96,False
92,Cole Beasley,74.65,65.27,69.96,False
96,Noah Brown,72.4,67.49,69.94,False
99,Calvin Austin III,69.47,67.64,68.56,False
104,Josh Reynolds,64.62,71.78,68.2,False
131,Marvin Jones,52.41,83.02,67.72,False
111,Mack Hollins,60.58,73.68,67.13,False
109,Olamide Zaccheaus,61.36,70.63,66.0,False
98,Adam Humphries,69.84,61.45,65.65,False
125,Robert Woods,54.04,76.4,65.22,False
102,Chris Moore,67.06,62.38,64.72,False
122,Marquez Valdes-Scantling,55.18,73.46,64.32,False
130,Kalif Raymond,52.62,75.94,64.28,False
135,Chase Claypool,49.34,78.38,63.86,False
112,Nelson Agholor,59.76,66.05,62.9,False
117,Henry Ruggs III,57.67,66.96,62.32,False
108,Richie James,61.74,60.45,61.1,False
106,Justin Watson,63.03,58.58,60.8,False
136,Odell Beckham Jr.,48.96,70.22,59.59,False
107,Ray-Ray McCloud,62.56,55.26,58.91,False
113,Dan Arnold,59.7,57.85,58.78,False
169,Zay Jones,38.52,78.97,58.74,False
154,Van Jefferson,42.22,72.48,57.35,False
140,JuJu Smith-Schuster,47.58,66.86,57.22,False
110,Greg Dortch,60.72,52.92,56.82,False
120,Tre'Quan Smith,56.3,56.61,56.46,False
119,DJ Chark,56.69,55.53,56.11,False
116,Troy Franklin,57.73,54.45,56.09,False
123,Michael Thomas,54.76,56.28,55.52,False
138,Quez Watkins,47.72,62.34,55.03,False
121,Danny Amendola,55.88,53.6,54.74,False
118,Isaiah McKenzie,57.66,50.77,54.22,False
115,Jonathan Mingo,58.72,48.14,53.43,False
128,James Washington,52.81,53.0,52.9,False
124,Parker Washington,54.44,50.89,52.66,False
144,Cedrick Wilson Jr.,46.86,58.22,52.54,False
127,Trey Palmer,52.98,50.52,51.75,False
156,Braxton Berrios,41.22,61.04,51.13,False
132,Cedric Tillman,51.65,49.76,50.7,False
129,Chester Rogers,52.73,47.31,50.02,False
133,Antoine Wesley,49.77,48.57,49.17,False
