,QB,Points
49,Patrick Mahomes,349.425
1,Baker Mayfield,341.56
51,Joe Burrow,340.63
23,Dak Prescott,322.40999999999997
3,Jared Goff,305.29499999999996
54,Kirk Cousins,291.78
2,Jayden Daniels,291.71
0,Josh Allen,288.38
7,Jordan Love,277.585
31,Matthew Stafford,275.555
29,Sam Howell,262.26
5,Aaron Rodgers,256.88
6,Caleb Williams,256.18
79,Jalen Hurts,253.98
58,Tom Brady,252.94
24,Lamar Jackson,238.4
86,Ben Roethlisberger,238.08
4,Justin Herbert,231.995
30,Russell Wilson,228.95499999999998
34,Geno Smith,226.85
53,Justin Fields,219.11
66,Ryan Tannehill,216.14000000000001
10,Derek Carr,201.91
55,Daniel Jones,199.04000000000002
11,Trevor Lawrence,195.22000000000003
87,Teddy Bridgewater,185.49
9,Drake Maye,178.4
62,Marcus Mariota,178.22
8,Tua Tagovailoa,175.82
35,Joshua Dobbs,168.64
38,Bryce Young,167.8
37,Desmond Ridder,167.64
16,Gardner Minshew II,161.365
41,Zach Wilson,151.61
45,Jimmy Garoppolo,151.455
93,Sam Darnold,150.92
67,Kenny Pickett,148.27
15,Mac Jones,140.62
39,Kyler Murray,138.01999999999998
64,Andy Dalton,133.69
13,Will Levis,117.22999999999999
14,Cooper Rush,113.1
40,Jake Browning,112.81
48,Davis Mills,110.7
17,Mason Rudolph,91.77
12,Jameis Winston,89.57
47,Carson Wentz,75.265
43,Joe Flacco,71.86
18,Drew Lock,68.22
19,Deshaun Watson,67.47
20,Jacoby Brissett,66.855
46,Mitchell Trubisky,60.269999999999996
96,Cam Newton,59.49
44,Anthony Richardson,40.19
99,Tim Boyle,38.51
101,P.J. Walker,20.93
21,Tyrod Taylor,18.475
72,Chase Daniel,14.32
100,Nick Foles,12.7
