,RB,Points
1,Derrick Henry,264.56
0,Saquon Barkley,250.56
3,Bijan Robinson,249.52
5,Kyren Williams,240.83
2,Jahmyr Gibbs,238.83
6,James Cook,230.86
8,De'Von Achane,225.37
10,Joe Mixon,224.2
17,Breece Hall,216.12
4,Josh Jacobs,210.64
16,David Montgomery,207.94
9,James Conner,203.92
13,Bucky Irving,200.87
23,Rachaad White,198.38
14,Alvin Kamara,196.87
7,Jonathan Taylor,196.58
18,D'Andre Swift,193.07
12,Chuba Hubbard,188.37
21,Tony Pollard,186.61
71,Christian McCaffrey,184.52
38,Travis Etienne,183.08
19,Najee Harris,182.53
28,Kenneth Walker III,170.44
27,Brian Robinson Jr.,164.12
15,Aaron Jones,163.15
25,Tyrone Tracy Jr.,162.94
59,Raheem Mostert,150.99
36,Jerome Ford,149.3
26,Rhamondre Stevenson,144.93
438,Devonta Freeman,139.86
35,Austin Ekeler,139.58
51,Gus Edwards,129.57
172,AJ Dillon,129.33
31,Javonte Williams,129.02
39,Jaylen Warren,128.91
24,Zach Charbonnet,128.49
22,Rico Dowdle,128.14
11,Chase Brown,125.88
441,Devontae Booker,119.25
62,Isiah Pacheco,117.66
37,Tyler Allgeier,116.0
47,Devin Singletary,115.34
29,Kareem Hunt,112.93
33,Alexander Mattison,110.53
54,Zack Moss,109.34
43,Tyjae Spears,104.37
185,Latavius Murray,101.68
61,Ezekiel Elliott,98.32
41,Justice Hill,96.84
44,Antonio Gibson,95.12
20,J.K. Dobbins,93.15
360,Darrel Williams,92.28
34,Ray Davis,91.1
242,Leonard Fournette,89.58
46,Isaac Guerendo,86.76
49,Jaleel McLaughlin,82.85
188,Jerick McKinnon,80.45
324,Nyheim Hines,79.41
361,Sony Michel,78.7
30,Tank Bigsby,78.05
50,Braelon Allen,77.72
32,Jordan Mason,73.46
57,Samaje Perine,73.16
335,Mark Ingram,72.38
333,Rex Burkhead,71.33
58,Miles Sanders,71.26
40,Ameer Abdullah,68.91
343,J.D. McKissic,67.9
468,Alex Collins,66.92
60,Kenneth Gainwell,66.88
87,Khalil Herbert,65.19
52,Roschon Johnson,63.14
45,Cam Akers,61.99
78,D'Onta Foreman,60.72
334,Justin Jackson,60.4
64,Dameon Pierce,59.86
66,Emari Demercado,58.57
394,Mike Davis,57.46
48,Ty Johnson,56.02
321,Dontrell Hilliard,55.87
329,Caleb Huntley,55.47
86,Ty Chandler,54.97
56,Jeremy McNichols,52.42
202,Darrell Henderson,51.54
208,Chase Edmonds,51.09
85,Zamir White,50.07
254,Kenyan Drake,49.76
220,Melvin Gordon,49.25
480,Chris Carson,48.75
314,Eno Benjamin,48.72
221,Damien Harris,48.46
42,Emanuel Wilson,47.75
382,David Johnson,47.68
204,Matt Breida,45.0
63,Audric Estime,44.91
363,Ronald Jones II,44.78
483,Peyton Barber,44.43
489,Carlos Hyde,43.69
196,Elijah Mitchell,42.9
65,Trey Benson,42.53
260,James Robinson,40.83
55,Nick Chubb,39.97
68,Isaiah Davis,39.42
76,Jamaal Williams,38.14
262,Deon Jackson,37.76
89,Pierre Strong,37.56
104,Clyde Edwards-Helaire,37.29
107,Keaton Mitchell,37.02
90,Jamycal Hasty,36.4
493,Ty'Son Williams,35.81
81,Michael Carter,35.22
84,Jaylen Wright,33.49
73,Chris Rodriguez,33.09
53,Sean Tucker,32.86
226,Boston Scott,32.78
193,Royce Freeman,31.98
404,Jordan Howard,31.65
67,Trey Sermon,31.43
82,D'Ernest Johnson,31.07
77,Blake Corum,30.64
75,Kimani Vidal,30.35
130,Joshua Kelley,30.16
83,Kendre Miller,29.89
345,Malik Davis,29.74
354,Tevin Coleman,29.67
69,Dare Ogunbowale,29.35
252,Zonovan Knight,29.32
80,Cordarrelle Patterson,28.42
245,Derrick Gore,28.26
375,Jaret Patterson,27.49
497,Elijhaa Penny,27.32
405,Duke Johnson,27.18
351,Avery Williams,27.13
243,Rashaad Penny,26.55
70,Tyler Goodson,26.18
206,Salvon Ahmed,26.06
96,Jordan Mims,25.85
490,Le'Veon Bell,25.68
79,Patrick Taylor,25.53
74,Hassan Haskins,25.35
390,Giovani Bernard,25.09
94,Carson Steele,24.96
340,Marlon Mack,24.82
93,Craig Reynolds,24.48
372,Phillip Lindsay,24.31
403,Demetric Felton,23.92
508,James White,23.8
114,Dalvin Cook,22.88
103,Jeff Wilson,22.76
519,Jalen Richard,22.6
72,Chris Brooks,22.23
358,Corey Clement,21.76
91,Kenny McIntosh,21.73
502,Adrian Peterson,21.71
88,Sincere McCormick,21.31
357,Malcolm Brown,20.08
512,Qadree Ollison,19.88
255,Chris Evans,19.17
98,Tony Jones,18.97
510,Austin Walter,18.15
115,Travis Homer,17.72
239,Gary Brightwell,17.1
97,Ronnie Rivers,16.78
95,Hunter Luepke,16.34
108,Mike Boone,16.27
228,Brandon Bolden,15.92
105,Eric Gray,15.85
219,Kevin Harris,15.62
235,Israel Abanikanda,15.24
401,Godwin Igwebuike,14.72
359,Benny Snell Jr.,14.58
99,Will Shipley,13.39
129,Darrynton Evans,13.11
516,Wayne Gallman,13.05
233,Keaontay Ingram,13.01
373,Jordan Wilkins,11.2
261,Jonathan Williams,11.11
92,DeeJay Dallas,10.79
521,Ryquell Armstead,10.75
368,Snoop Conner,10.32
391,Larry Rountree,10.22
101,Deuce Vaughn,10.04
224,Isaiah Spiller,10.02
116,Jermar Jefferson,9.86
100,Julius Chestnut,9.56
102,Raheem Blackshear,9.45
238,Trayveon Williams,9.35
522,JaQuan Hardy,9.24
106,Tyler Badie,8.32
388,Trestan Ebner,8.09
230,La'Mical Perine,8.01
530,Wendell Smallwood,6.51
109,Jonathon Brooks,6.43
110,Sione Vaki,6.07
379,Spencer Brown,5.94
524,Andy Janovich,5.86
111,Jacob Kibodi,5.81
257,Kene Nwangwu,5.25
529,Jason Huntley,5.19
125,Myles Gaskin,4.74
531,Kalen Ballage,4.73
527,Ito Smith,4.32
387,Dwayne Washington,4.05
537,Patrick Laird,3.93
389,Anthony McFarland Jr.,3.66
117,Terrell Jennings,3.65
113,Rasheen Ali,3.62
112,J.J. Taylor,3.58
118,Jase McClellan,3.32
541,Jaylen Samuels,3.1
539,Scottie Phillips,2.97
122,Blake Watson,2.95
241,Damien Williams,2.85
131,Ke'Shawn Vaughn,2.7
249,Elijah Dotson,2.61
253,Jashaun Corbin,2.28
400,Kylin Hill,2.27
121,Jonathan Ward,2.03
250,Zach Evans,1.96
398,Reggie Bonnafon,1.79
120,Aaron Shampklin,1.72
540,Trey Ragas,1.63
251,Jake Funk,1.61
119,MarShawn Lloyd,1.54
258,Devine Ozigbo,1.54
123,Chris Collier,1.47
124,Tyrion Davis-Price,1.46
549,Ryan Nall,1.41
126,George Holani,1.37
547,John Kelly,1.36
550,Jacques Patrick,1.33
127,Cody Schrader,1.26
551,Mekhi Sargent,1.25
546,Buddy Howell,1.14
256,Evan Hull,0.85
544,Damarea Crockett,0.71
553,Nathan Cottrell,0.56
128,British Brooks,0.31
554,Nate McCrary,0.05
552,Kenjon Barner,-0.08
556,Trenton Cannon,-0.32
132,Dylan Laube,-0.86
