,QB,Points
49,Patrick Mahomes,373.44
0,Josh Allen,369.69
51,Joe Burrow,332.53
2,Jayden Daniels,323.05
23,Dak Prescott,322.26
54,Kirk Cousins,286.22
79,Jalen Hurts,285.79
31,Matthew Stafford,282.22
4,Justin Herbert,280.75
1,Baker Mayfield,273.75
7,Jordan Love,271.93
3,Jared Goff,269.56
58,Tom Brady,263.48
29,Sam Howell,260.51
24,Lamar Jackson,252.75
53,Justin Fields,250.77
5,Aaron Rodgers,246.93
6,Caleb Williams,244.03
30,Russell Wilson,237.22
34,Geno Smith,225.46
11,Trevor Lawrence,219.78
86,Ben Roethlisberger,217.58
66,Ryan Tannehill,210.96
55,Daniel Jones,210.13
87,Teddy Bridgewater,194.9
10,Derek Carr,194.48
62,Marcus Mariota,181.88
35,Joshua Dobbs,179.71
9,Drake Maye,172.42
37,Desmond Ridder,171.43
8,Tua Tagovailoa,171.34
15,Mac Jones,165.24
93,Sam Darnold,153.15
39,Kyler Murray,152.79
38,Bryce Young,150.41
16,Gardner Minshew II,150.22
45,Jimmy Garoppolo,145.56
67,Kenny Pickett,144.2
41,Zach Wilson,134.0
40,Jake Browning,133.48
47,Carson Wentz,128.6
64,Andy Dalton,128.15
48,Davis Mills,120.01
13,Will Levis,111.0
14,Cooper Rush,104.87
17,Mason Rudolph,91.05
43,Joe Flacco,87.34
12,Jameis Winston,85.63
96,Cam Newton,72.8
18,Drew Lock,72.19
19,Deshaun Watson,71.07
46,Mitchell Trubisky,60.7
20,Jacoby Brissett,57.0
44,Anthony Richardson,54.99
99,Tim Boyle,30.45
101,P.J. Walker,20.93
100,Nick Foles,14.32
21,Tyrod Taylor,14.26
72,Chase Daniel,9.04
