,RB,Points
2,Jahmyr Gibbs,262.88
3,Bijan Robinson,258.52
1,Derrick Henry,252.26
10,Joe Mixon,230.35
4,Josh Jacobs,226.89
0,Saquon Barkley,223.7
8,De'Von Achane,219.01
35,Austin Ekeler,214.9
7,Jonathan Taylor,214.69
13,Bucky Irving,212.15
19,Najee Harris,206.22
9,James Conner,201.86
14,Alvin Kamara,200.23
71,Christian McCaffrey,196.47
15,Aaron Jones,185.63
16,David Montgomery,184.99
21,Tony Pollard,184.54
6,James Cook,182.92
17,Breece Hall,181.34
38,Travis Etienne,180.92
18,D'Andre Swift,176.21
28,Kenneth Walker III,175.32
23,Rachaad White,173.04
5,Kyren Williams,171.22
25,Tyrone Tracy Jr.,158.82
61,Ezekiel Elliott,152.86
26,Rhamondre Stevenson,149.43
12,Chuba Hubbard,146.43
27,Brian Robinson Jr.,143.99
172,AJ Dillon,141.47
47,Devin Singletary,140.21
55,Nick Chubb,139.21
242,Leonard Fournette,135.52
438,Devonta Freeman,133.36
44,Antonio Gibson,132.65
11,Chase Brown,131.43
22,Rico Dowdle,128.69
24,Zach Charbonnet,127.85
37,Tyler Allgeier,126.93
31,Javonte Williams,122.7
441,Devontae Booker,122.52
62,Isiah Pacheco,122.41
39,Jaylen Warren,115.09
59,Raheem Mostert,115.06
58,Miles Sanders,113.36
114,Dalvin Cook,110.57
29,Kareem Hunt,110.48
43,Tyjae Spears,108.79
80,Cordarrelle Patterson,103.37
51,Gus Edwards,103.12
33,Alexander Mattison,102.29
221,Damien Harris,101.96
34,Ray Davis,101.83
36,Jerome Ford,100.57
185,Latavius Murray,99.74
76,Jamaal Williams,99.71
360,Darrel Williams,94.63
220,Melvin Gordon,94.26
54,Zack Moss,93.46
64,Dameon Pierce,89.63
20,J.K. Dobbins,87.22
49,Jaleel McLaughlin,86.04
57,Samaje Perine,86.01
78,D'Onta Foreman,85.27
46,Isaac Guerendo,83.61
202,Darrell Henderson,83.43
196,Elijah Mitchell,81.97
81,Michael Carter,80.45
188,Jerick McKinnon,80.39
260,James Robinson,78.76
60,Kenneth Gainwell,77.86
87,Khalil Herbert,77.84
361,Sony Michel,77.74
41,Justice Hill,77.45
50,Braelon Allen,76.81
208,Chase Edmonds,74.72
30,Tank Bigsby,73.6
324,Nyheim Hines,73.34
343,J.D. McKissic,71.58
52,Roschon Johnson,71.55
333,Rex Burkhead,71.12
335,Mark Ingram,69.27
45,Cam Akers,65.75
104,Clyde Edwards-Helaire,65.41
468,Alex Collins,64.92
48,Ty Johnson,61.91
254,Kenyan Drake,61.7
40,Ameer Abdullah,61.41
32,Jordan Mason,61.16
321,Dontrell Hilliard,60.76
334,Justin Jackson,60.34
103,Jeff Wilson,59.62
243,Rashaad Penny,58.45
394,Mike Davis,57.39
66,Emari Demercado,56.11
56,Jeremy McNichols,55.95
125,Myles Gaskin,51.98
314,Eno Benjamin,49.82
42,Emanuel Wilson,49.35
226,Boston Scott,49.21
329,Caleb Huntley,46.64
480,Chris Carson,46.0
363,Ronald Jones II,45.25
63,Audric Estime,44.33
228,Brandon Bolden,43.61
483,Peyton Barber,42.22
204,Matt Breida,41.99
65,Trey Benson,41.98
489,Carlos Hyde,41.03
68,Isaiah Davis,40.7
382,David Johnson,39.77
90,Jamycal Hasty,39.39
82,D'Ernest Johnson,38.82
86,Ty Chandler,38.46
107,Keaton Mitchell,36.14
493,Ty'Son Williams,35.74
69,Dare Ogunbowale,34.48
85,Zamir White,34.1
73,Chris Rodriguez,33.5
53,Sean Tucker,33.2
130,Joshua Kelley,32.91
354,Tevin Coleman,31.79
83,Kendre Miller,31.73
89,Pierre Strong,31.33
193,Royce Freeman,31.0
345,Malik Davis,30.98
404,Jordan Howard,30.95
490,Le'Veon Bell,30.63
77,Blake Corum,30.16
75,Kimani Vidal,29.48
115,Travis Homer,28.81
84,Jaylen Wright,28.46
497,Elijhaa Penny,28.29
206,Salvon Ahmed,28.25
405,Duke Johnson,28.02
375,Jaret Patterson,27.89
245,Derrick Gore,27.72
262,Deon Jackson,27.46
351,Avery Williams,27.12
252,Zonovan Knight,26.98
70,Tyler Goodson,26.68
93,Craig Reynolds,26.15
372,Phillip Lindsay,25.75
74,Hassan Haskins,25.6
92,DeeJay Dallas,25.45
508,James White,24.89
390,Giovani Bernard,24.06
340,Marlon Mack,23.99
72,Chris Brooks,23.35
88,Sincere McCormick,23.25
67,Trey Sermon,23.1
358,Corey Clement,22.22
502,Adrian Peterson,21.91
96,Jordan Mims,21.9
91,Kenny McIntosh,21.36
255,Chris Evans,21.26
94,Carson Steele,20.64
357,Malcolm Brown,20.63
519,Jalen Richard,19.23
241,Damien Williams,19.06
403,Demetric Felton,18.93
79,Patrick Taylor,18.59
512,Qadree Ollison,18.47
510,Austin Walter,18.1
102,Raheem Blackshear,18.08
98,Tony Jones,16.77
219,Kevin Harris,15.78
95,Hunter Luepke,15.76
359,Benny Snell Jr.,14.8
235,Israel Abanikanda,14.0
99,Will Shipley,13.71
261,Jonathan Williams,13.68
97,Ronnie Rivers,13.51
233,Keaontay Ingram,13.46
516,Wayne Gallman,13.11
401,Godwin Igwebuike,13.01
108,Mike Boone,12.37
239,Gary Brightwell,12.26
116,Jermar Jefferson,11.99
373,Jordan Wilkins,11.66
131,Ke'Shawn Vaughn,11.61
521,Ryquell Armstead,10.89
224,Isaiah Spiller,10.85
101,Deuce Vaughn,10.67
105,Eric Gray,10.36
368,Snoop Conner,10.29
129,Darrynton Evans,10.04
391,Larry Rountree,9.88
100,Julius Chestnut,9.46
522,JaQuan Hardy,8.98
106,Tyler Badie,8.25
238,Trayveon Williams,7.98
230,La'Mical Perine,7.86
524,Andy Janovich,7.5
112,J.J. Taylor,7.28
530,Wendell Smallwood,6.6
110,Sione Vaki,6.55
257,Kene Nwangwu,6.3
109,Jonathon Brooks,6.23
379,Spencer Brown,6.07
527,Ito Smith,5.74
531,Kalen Ballage,5.15
529,Jason Huntley,5.12
388,Trestan Ebner,5.06
111,Jacob Kibodi,4.93
124,Tyrion Davis-Price,4.37
387,Dwayne Washington,4.26
121,Jonathan Ward,3.94
537,Patrick Laird,3.77
541,Jaylen Samuels,3.59
389,Anthony McFarland Jr.,3.53
117,Terrell Jennings,3.44
113,Rasheen Ali,3.38
118,Jase McClellan,3.23
539,Scottie Phillips,3.13
122,Blake Watson,2.87
249,Elijah Dotson,2.75
253,Jashaun Corbin,2.6
540,Trey Ragas,2.13
400,Kylin Hill,2.12
119,MarShawn Lloyd,1.96
250,Zach Evans,1.93
398,Reggie Bonnafon,1.75
120,Aaron Shampklin,1.7
251,Jake Funk,1.63
126,George Holani,1.39
123,Chris Collier,1.37
127,Cody Schrader,1.35
549,Ryan Nall,1.35
547,John Kelly,1.33
550,Jacques Patrick,1.25
258,Devine Ozigbo,1.22
551,Mekhi Sargent,1.15
546,Buddy Howell,1.11
256,Evan Hull,1.06
544,Damarea Crockett,0.71
553,Nathan Cottrell,0.4
128,British Brooks,0.24
554,Nate McCrary,-0.06
552,Kenjon Barner,-0.08
556,Trenton Cannon,-0.32
132,Dylan Laube,-1.36
