,TE,Points
0,Brock Bowers,199.65
5,Travis Kelce,194.99
1,Trey McBride,184.36
14,Sam LaPorta,178.21
3,Mark Andrews,159.55
15,George Kittle,155.6
54,Zach Ertz,148.91
4,Tucker Kraft,131.73
17,Cole Kmet,123.21
7,Taysom Hill,114.08
34,Evan Engram,110.91
6,Cade Otton,109.55
19,Kyle Pitts,107.52
20,Dallas Goedert,102.45
36,David Njoku,100.85
22,Logan Thomas,98.86
24,Gerald Everett,96.1
9,Tyler Conklin,95.61
2,Jonnu Smith,88.38
10,Chigoziem Okonkwo,80.58
8,Noah Gray,66.39
40,Daniel Bellinger,57.67
26,Kylen Granson,53.28
61,Tommy Tremble,44.37
46,Durham Smythe,41.51
28,Harrison Bryant,41.32
63,Jordan Akins,32.35
29,Connor Heyward,31.09
11,Tanner Hudson,28.39
62,Eric Ebron,27.86
13,Drew Sample,26.83
30,Peyton Hendershot,23.47
12,Charlie Kolar,19.87
64,Blake Bell,16.61
49,Andrew Beck,12.47
48,Armani Rogers,12.27
