,WR,Points
22,Tyreek Hill,251.34
0,Ja'Marr Chase,250.22
1,Justin Jefferson,249.51
11,Davante Adams,244.34
8,CeeDee Lamb,242.4
3,Brian Thomas,233.56
2,Amon-Ra St. Brown,226.73
7,Malik Nabers,219.15
6,Mike Evans,214.39
17,A.J. Brown,203.27
68,Stefon Diggs,202.41
31,Puka Nacua,199.75
38,Cooper Kupp,198.79
21,D.J. Moore,194.03
10,Ladd McConkey,191.65
4,Terry McLaurin,189.15
33,D.K. Metcalf,185.85
15,Garrett Wilson,183.54
42,Deebo Samuel,182.9
16,Jordan Addison,179.62
36,Keenan Allen,176.35
27,DeVonta Smith,176.3
5,Drake London,171.84
48,Jaylen Waddle,171.47
23,Zay Flowers,171.02
45,Michael Pittman Jr.,168.81
18,Tee Higgins,168.55
20,Jayden Reed,167.15
24,Marvin Harrison Jr.,166.07
63,Amari Cooper,165.88
71,Tyler Lockett,164.23
28,Jakobi Meyers,159.36
13,Jaxon Smith-Njigba,159.04
55,Chris Godwin,157.4
32,Xavier Worthy,156.62
9,Courtland Sutton,152.39
47,Adam Thielen,149.25
101,Brandon Aiyuk,145.41
40,George Pickens,145.0
86,Diontae Johnson,140.05
49,DeAndre Hopkins,137.77
25,Calvin Ridley,137.34
37,Josh Downs,135.78
94,Christian Kirk,135.25
92,Chris Olave,134.79
14,Jerry Jeudy,133.48
19,Nico Collins,132.24
93,Brandin Cooks,126.05
53,Tank Dell,125.1
30,Darnell Mooney,121.75
51,Rome Odunze,118.23
44,Jalen McMillan,116.59
470,Russell Gage,114.47
99,Tyler Boyd,113.67
95,Rashee Rice,113.28
35,Quentin Johnston,112.92
56,Romeo Doubs,111.12
104,Mike Williams,109.54
681,Emmanuel Sanders,109.22
108,Gabriel Davis,109.11
150,Marquise Brown,107.28
54,Allen Lazard,105.62
66,Xavier Legette,101.82
34,Alec Pierce,101.69
67,Christian Watson,101.49
84,Tim Patrick,100.82
688,Antonio Brown,100.46
338,Hunter Renfrow,99.86
82,Elijah Moore,97.57
60,Demario Douglas,96.78
65,Michael Wilson,96.45
52,Wan'Dale Robinson,95.97
72,Dontayvion Wicks,94.47
75,Josh Palmer,93.57
73,Darius Slayton,92.96
142,K.J. Osborn,92.24
83,Rashid Shaheed,91.92
59,Keon Coleman,91.65
524,A.J. Green,87.92
39,Khalil Shakir,86.89
26,Jauan Jennings,86.71
102,Kendrick Bourne,85.93
41,Nick Westbrook-Ikhine,85.82
482,Corey Davis,85.52
12,Jameson Williams,85.22
78,Devaughn Vele,83.73
29,Rashod Bateman,83.12
402,Marvin Jones,83.02
61,Tre Tucker,82.02
123,Jahan Dotson,81.45
110,Curtis Samuel,80.87
355,Donovan Peoples-Jones,80.73
46,Demarcus Robinson,80.28
542,Marquez Callaway,79.24
157,Zay Jones,78.97
50,Marvin Mims,78.39
360,Chase Claypool,78.38
291,Michael Gallup,77.62
81,Jalen Coker,77.13
130,Robert Woods,76.4
80,Ricky Pearsall,76.37
307,DeVante Parker,76.22
98,Kalif Raymond,75.94
525,Jarvis Landry,75.27
279,Rondale Moore,75.24
74,Mack Hollins,73.68
77,Marquez Valdes-Scantling,73.46
57,Andrei Iosivas,72.84
85,Tutu Atwell,72.51
97,Van Jefferson,72.48
120,Josh Reynolds,71.78
76,Olamide Zaccheaus,70.63
167,Odell Beckham Jr.,70.22
58,Calvin Austin III,67.64
89,Noah Brown,67.49
704,Henry Ruggs III,66.96
107,JuJu Smith-Schuster,66.86
105,Nelson Agholor,66.05
588,Cole Beasley,65.27
301,Chris Moore,62.38
347,Quez Watkins,62.34
743,Adam Humphries,61.45
